INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,CLOSE_prev,PRICE_CHANGE,PRICE_CHANGE_PCT,OPEN_INT,OPEN_INT_prev,CHG_IN_OI,OI_CHANGE_PCT,OI_PATTERN
FUTSTK,PVRINOX,30-Jan-2025,,1306.3,1325.2,-18.90000000000009,-1.426199818895268,3818474,3851441,-32967,-0.8559653386875199,Long Unwinding
FUTSTK,SBIN,30-Jan-2025,,797.85,805.7,-7.850000000000023,-0.9743080551073628,115833000,113912250,1920750,1.6861663253952057,Short Build-up
FUTSTK,PETRONET,30-Jan-2025,,331.4,329.15,2.25,0.683578915388121,32842500,33025500,-183000,-0.5541172730163055,Short Covering
FUTSTK,DABUR,30-Jan-2025,,527.8,516.6,11.199999999999932,2.168021680216789,18963750,19883750,-920000,-4.626893820330672,Short Covering
FUTSTK,ANGELONE,30-Jan-2025,,2817.45,2967.7,-150.25,-5.0628432793072085,2386000,2060400,325600,15.802756746262862,Short Build-up
FUTSTK,IEX,30-Jan-2025,,177.55,182.43,-4.8799999999999955,-2.674998629611355,34143750,33127500,1016250,3.067693004301562,Short Build-up
FUTSTK,UBL,30-Jan-2025,,2121.3,2121.95,-0.6499999999996362,-0.03063220151274235,1413200,1442400,-29200,-2.024403771491958,Long Unwinding
FUTSTK,JIOFIN,30-Jan-2025,,309.25,306.75,2.5,0.8149959250203749,46543200,42144300,4398900,10.437710437710438,Long Build-up
FUTSTK,MOTHERSON,30-Jan-2025,,160.47,160.99,-0.5200000000000102,-0.32300142866017156,118864650,118669400,195250,0.16453272705516334,Short Build-up
FUTSTK,ATGL,30-Jan-2025,,720.1,723.15,-3.0499999999999545,-0.42176588536264326,3389850,3354975,34875,1.0395010395010396,Short Build-up
FUTSTK,DIXON,30-Jan-2025,,18505.2,18436.35,68.85000000000218,0.3734470217803534,1401350,1409600,-8250,-0.585272417707151,Short Covering
FUTSTK,KPITTECH,30-Jan-2025,,1452.25,1490.5,-38.25,-2.5662529352566255,1614400,1490400,124000,8.319914117015566,Short Build-up
FUTSTK,SYNGENE,30-Jan-2025,,860.25,877.45,-17.200000000000045,-1.9602256538834173,5469000,5463000,6000,0.10982976386600769,Short Build-up
FUTSTK,AUBANK,30-Jan-2025,,568.4,569.3,-0.8999999999999773,-0.1580888810820266,27351000,26193000,1158000,4.4210285190699805,Short Build-up
FUTSTK,COROMANDEL,30-Jan-2025,,1970.45,1968.6,1.8500000000001364,0.09397541399980375,3758650,3729250,29400,0.7883622712341622,Long Build-up
FUTSTK,MANAPPURAM,30-Jan-2025,,188.81,192.07,-3.259999999999991,-1.6972978601551472,70305000,71373000,-1068000,-1.496364171325291,Long Unwinding
FUTSTK,ASIANPAINT,30-Jan-2025,,2344.65,2351.7,-7.049999999999727,-0.29978313560401953,13074400,13129800,-55400,-0.42194092827004215,Long Unwinding
FUTSTK,INDIANB,30-Jan-2025,,527.35,526.75,0.6000000000000227,0.1139060275272943,4602750,4748100,-145350,-3.061224489795918,Short Covering
FUTSTK,NAUKRI,30-Jan-2025,,9082.05,8939.1,142.9499999999989,1.5991542772762237,1437525,1284825,152700,11.884887046874088,Long Build-up
FUTSTK,DRREDDY,30-Jan-2025,,1360.1,1380.7,-20.600000000000136,-1.4919968132107002,12238750,12024375,214375,1.7828369457872033,Short Build-up
FUTSTK,SUNPHARMA,30-Jan-2025,,1860.8,1888.65,-27.850000000000136,-1.4745982580149914,16026850,16057650,-30800,-0.19180888859826936,Long Unwinding
FUTSTK,LTIM,30-Jan-2025,,5746.45,5790.3,-43.850000000000364,-0.7573010034022479,2569500,2549850,19650,0.770633566680393,Short Build-up
FUTSTK,CHOLAFIN,30-Jan-2025,,1325.65,1277.0,48.65000000000009,3.8097102584181743,12550000,12013125,536875,4.469070287706154,Long Build-up
FUTSTK,INDUSTOWER,30-Jan-2025,,346.1,348.8,-2.6999999999999886,-0.7740825688073362,90936400,90910900,25500,0.028049441816107856,Short Build-up
FUTSTK,CESC,30-Jan-2025,,186.91,190.5,-3.5900000000000034,-1.8845144356955397,10105875,9421425,684450,7.26482458863707,Short Build-up
FUTSTK,DELHIVERY,30-Jan-2025,,336.75,348.65,-11.899999999999977,-3.413165065251679,8257875,7878150,379725,4.819976771196283,Short Build-up
FUTSTK,HDFCBANK,30-Jan-2025,,1759.4,1799.85,-40.44999999999982,-2.2474095063477413,118482100,115526950,2955150,2.557974567838933,Short Build-up
FUTSTK,TATACOMM,30-Jan-2025,,1745.1,1753.95,-8.850000000000136,-0.5045753869836732,5885000,5938750,-53750,-0.9050726162913071,Long Unwinding
FUTSTK,BAJAJ-AUTO,30-Jan-2025,,8993.95,9119.35,-125.39999999999964,-1.3750980058885736,3448650,3372525,76125,2.257210843507461,Short Build-up
FUTSTK,TIINDIA,30-Jan-2025,,3630.75,3695.3,-64.55000000000018,-1.7468135198766048,555900,511650,44250,8.648490178833185,Short Build-up
FUTSTK,INDUSINDBK,30-Jan-2025,,1000.85,996.8,4.050000000000068,0.40630016051365053,55300000,55021500,278500,0.5061657715620257,Long Build-up
FUTSTK,LTF,30-Jan-2025,,139.24,140.15,-0.9099999999999966,-0.6493043168034224,84974328,83662500,1311828,1.568,Short Build-up
FUTSTK,CDSL,30-Jan-2025,,1810.35,1816.8,-6.4500000000000455,-0.3550198150594477,4869550,4847150,22400,0.462127229402845,Short Build-up
FUTSTK,PNB,30-Jan-2025,,106.76,106.21,0.5500000000000114,0.5178420111100757,340856000,344672000,-3816000,-1.107139541361062,Short Covering
FUTSTK,SUNTV,30-Jan-2025,,686.25,692.9,-6.649999999999977,-0.9597344494154968,4302000,4314000,-12000,-0.27816411682892905,Long Unwinding
FUTSTK,MARUTI,30-Jan-2025,,11968.55,11879.75,88.79999999999927,0.7474904774932071,3294400,3283400,11000,0.33501857830297865,Long Build-up
FUTSTK,TATASTEEL,30-Jan-2025,,139.15,138.93,0.21999999999999886,0.15835312747426677,229124500,225868500,3256000,1.4415467406920397,Long Build-up
FUTSTK,NHPC,30-Jan-2025,,83.39,82.92,0.46999999999999886,0.5668113844669547,43526400,39385600,4140800,10.51348716282093,Long Build-up
FUTSTK,OIL,30-Jan-2025,,482.0,466.2,15.800000000000011,3.3891033891033913,8587100,8009825,577275,7.2070862971413225,Long Build-up
